CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
10518,AMAZONAS,LUYA,SAN JERONIMO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10520,AMAZONAS,LUYA,SANTA CATALINA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA ,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10521,AMAZONAS,LUYA,SANTO TOMAS,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10310,AMAZONAS,BONGARA,SHIPASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10121,AMAZONAS,CHACHAPOYAS,SONCHE,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10522,AMAZONAS,LUYA,TINGO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10523,AMAZONAS,LUYA,TRITA ,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10311,AMAZONAS,BONGARA,VALERA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10707,AMAZONAS,UTCUBAMBA,YAMON,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21402,ANCASH,OCROS,ACAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20902,ANCASH,CORONGO,ACO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21902,ANCASH,SIHUAS,ACOBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20402,ANCASH,ASUNCION,ACOCHACA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20602,ANCASH,CARHUAZ,ACOPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20302,ANCASH,ANTONIO RAYMONDI,ACZO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20201,ANCASH,AIJA,AIJA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21903,ANCASH,SIHUAS,ALFONSO UGARTE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20603,ANCASH,CARHUAZ,AMASHCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21002,ANCASH,HUARI,ANRA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20604,ANCASH,CARHUAZ,ANTA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20504,ANCASH,BOLOGNESI,AQUIA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20605,ANCASH,CARHUAZ,ATAQUERO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20903,ANCASH,CORONGO,BAMBAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21502,ANCASH,PALLASCA,BOLOGNESI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20802,ANCASH,CASMA,BUENA VISTA ALTA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21501,ANCASH,PALLASCA,CABANA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21802,ANCASH,SANTA,CACERES DEL PERU,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
20505,ANCASH,BOLOGNESI,CAJACAY,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21403,ANCASH,OCROS,CAJAMARQUILLA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21003,ANCASH,HUARI,CAJAY,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20506,ANCASH,BOLOGNESI,CANIS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21201,ANCASH,HUAYLAS,CARAZ,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
21404,ANCASH,OCROS,CARHUAPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20601,ANCASH,CARHUAZ,CARHUAZ,PEHRZ,DIST. NACIONAL,-,3,ALEJADO,,x,
21302,ANCASH,MARISCAL LUZURIAGA,CASCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
22002,ANCASH,YUNGAY,CASCAPARA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21904,ANCASH,SIHUAS,CASHAPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20801,ANCASH,CASMA,CASMA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21702,ANCASH,RECUAY,CATAC,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20401,ANCASH,ASUNCION,CHACAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20303,ANCASH,ANTONIO RAYMONDI,CHACCHO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21004,ANCASH,HUARI,CHAVIN DE HUANTAR,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21801,ANCASH,SANTA,CHIMBOTE,PECHM,DIST. NACIONAL,-,1,URBANO,x,,
21905,ANCASH,SIHUAS,CHINGALPO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20304,ANCASH,ANTONIO RAYMONDI,CHINGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20501,ANCASH,BOLOGNESI,CHIQUIAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20102,ANCASH,HUARAZ,COCHABAMBA,PEANC,DIST. NACIONAL,-,4,ALEJADO,,,x
21102,ANCASH,HUARMEY,COCHAPETI,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21405,ANCASH,OCROS,COCHAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21803,ANCASH,SANTA,COISHCO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
20103,ANCASH,HUARAZ,COLCABAMBA,PEANC,DIST. NACIONAL,-,4,ALEJADO,,,x
20507,ANCASH,BOLOGNESI,COLQUIOC,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20803,ANCASH,CASMA,COMANDANTE NOEL,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21503,ANCASH,PALLASCA,CONCHUCOS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21406,ANCASH,OCROS,CONGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
