CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - BGR,ALEJADO
10309,AMAZONAS,BONGARA,SAN CARLOS,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - BGR,ALEJADO
10516,AMAZONAS,LUYA,SAN CRISTOBAL,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10518,AMAZONAS,LUYA,SAN JERONIMO,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - CHA,ALEJADO
10520,AMAZONAS,LUYA,SANTA CATALINA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,PEAZN,DIST. NACIONAL,-,4,LIM - AND,ALEJADO
10521,AMAZONAS,LUYA,SANTO TOMAS,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10310,AMAZONAS,BONGARA,SHIPASBAMBA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - BGR,ALEJADO
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10121,AMAZONAS,CHACHAPOYAS,SONCHE,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10522,AMAZONAS,LUYA,TINGO,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - CHA,ALEJADO
10523,AMAZONAS,LUYA,TRITA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10311,AMAZONAS,BONGARA,VALERA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - BGR,ALEJADO
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - CHA,ALEJADO
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - BGR,ALEJADO
10707,AMAZONAS,UTCUBAMBA,YAMON,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - BGR,ALEJADO
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21402,ANCASH,OCROS,ACAS,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20902,ANCASH,CORONGO,ACO,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21902,ANCASH,SIHUAS,ACOBAMBA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20402,ANCASH,ASUNCION,ACOCHACA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20602,ANCASH,CARHUAZ,ACOPAMPA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20302,ANCASH,ANTONIO RAYMONDI,ACZO,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20201,ANCASH,AIJA,AIJA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21903,ANCASH,SIHUAS,ALFONSO UGARTE,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20603,ANCASH,CARHUAZ,AMASHCA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
