CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010121,AMAZONAS,CHACHAPOYAS,SONCHE,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010522,AMAZONAS,LUYA,TINGO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010523,AMAZONAS,LUYA,TRITA ,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010311,AMAZONAS,BONGARA,VALERA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010707,AMAZONAS,UTCUBAMBA,YAMON,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021402,ANCASH,OCROS,ACAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020902,ANCASH,CORONGO,ACO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021902,ANCASH,SIHUAS,ACOBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020402,ANCASH,ASUNCION,ACOCHACA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020602,ANCASH,CARHUAZ,ACOPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020302,ANCASH,ANTONIO RAYMONDI,ACZO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020201,ANCASH,AIJA,AIJA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021903,ANCASH,SIHUAS,ALFONSO UGARTE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020603,ANCASH,CARHUAZ,AMASHCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021002,ANCASH,HUARI,ANRA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020604,ANCASH,CARHUAZ,ANTA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020504,ANCASH,BOLOGNESI,AQUIA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020605,ANCASH,CARHUAZ,ATAQUERO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020903,ANCASH,CORONGO,BAMBAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021502,ANCASH,PALLASCA,BOLOGNESI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020802,ANCASH,CASMA,BUENA VISTA ALTA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021501,ANCASH,PALLASCA,CABANA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021802,ANCASH,SANTA,CACERES DEL PERU,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
020505,ANCASH,BOLOGNESI,CAJACAY,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
